job_title,organization,location,job_description
Accounts Payable Associate Job in Mason,Medical Devices and Supplies,"Mason, OH 45040","  Position/Title:Accounts Payable AssociatePosition/Title:Department:FinanceDepartment:Reports To:Accounts Manager Reports ToAtriCure, Inc.is a medical device company that provides innovative solutions designed to decrease the global Afib epidemic. AtriCure’s Isolator® Synergy™ Ablation System is the first and only surgical device approved for the treatment of persistent and longstanding persistent forms of Afib in patients undergoing certain open concomitant procedures. AtriCure’s AtriClip® Left Atrial Appendage Management (LAAM) exclusion device is the most widely sold device worldwide that is indicated for the occlusion of the left atrial appendage. AtriCure believes electrophysiologists and cardiothoracic surgeons are adopting its technologies for the treatment of Afib and reduction of Afib related complications. Afib affects more than 33 million people worldwide. For more information, visit AtriCure.com or follow us on Twitter @AtriCure. Position Summary:The A/P Associate is responsible for accounts payable functions. Roles and Responsibilities: Review, code, and enter invoices into the accounting system3-way match for P.O. invoicesRoute invoices for approvalAssist with AP accrual Assist with Open PO accrualAssist with 1099 forms at year endResponsible for compliance to AtriCure quality system, SOX, and company policiesWork with suppliers and shipping/receiving to resolve pricing/quantity issues and discrepanciesReconcile Vendor statementsAssist with AP check runsPerforms other duties as assigned by supervisor BASIC QUALIFICATIONS:High School Diploma or EquivalentData analysis experience Computer/data entry skillsReport writing skillsGood written/verbal communication skillsProblem solving/trouble shooting experience Ability to work independently or as part of a team PREFERRED QUALIFICATIONS:Associates degree in Business Previous AP experiencePrevious Financial Analysis experience  ESSENTIAL JOB FUNCTIONS (Physical or mental qualification requirement – i.e. walk, sit, stand, bend, push/pull, lift (how much), travel %):Regularly walk and sitOccasionally stand, bend, push/ pull and lift up to 50 pounds All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, protected veteran status, status as an individual with disability, sexual orientation or gender identity. Training Requirements[See Form-172 and HR-001 and list codes or Document Number]CoreDepartmentJob SpecificAFinanceO Human Resources InformationEEOCFLSAAdministrative Support WorkersNon-Exempt  Employee Signature: _______________________Date: __________________  Employee Name: __________________________    "
Monster,All,"Address 529 N Gay StreetKnoxville, TN 37927",Report this job About the Job Alarm Monitor Computer Experience M-F3 PM - 11 PM $8.00/Hour Drug Testing & Background Check Apply at 529 N Gay St. 9 AM-4PMPosting provided by: Report
(Auto) Physical Damage Claim Senior Appraiser/Adjuster Job in Atlanta,Retail,"At American Family Insurance, we’re driven by our customers and employees. That’s why we provide more than just a job – we provide opportunity. Whether you’re already part of our team in search of a new challenge or new to our company and ready for what’s next, you’re in the right place. Every dream is a journey that starts with a single step. Start your journey right here. Join our team. Bring your dreams.Quick Stats:Location: GA Atlanta Office, GA Stockbridge Sales OfficeJob ID: R2196 (Auto) Physical Damage Claim Senior Appraiser/Adjuster (Open)Summary:The Physical Damage Claim Field Senior Adjuster position supports the Claim Division goal of ensuring customer service industry leadership and partners with agency to deliver seamless claim service. An experienced adjuster who has achieved mastery in and performs all areas of physical damage claim adjustment activities with the highest degree of competency and independence. Processes complex or highly complex claims that primarily require on-site inspection or face-to-face contact on a routine basis. Evidences effective performance in the area of customer, agency and public relations; and is active and competent in conducting training of new claim personnel. Facilitates continuous development of people, processes, and culture to ensure customer service industry leadership.Position detailWe have three positions availableSelected candidate will be required to handle South or East AtlantaThis is a work from home positionA company vehicle will be providedPreferred candidate would have a minimum of two years auto appraisal experience. Ideal candidates would also have previous experience using one of the three major estimating platforms. Offer to selected candidate will be made contingent on the results of applicable background checksOffer to selected candidate is contingent on signing a non-disclosure agreement for proprietary information, trade secrets, and inventionsOur policy restricts consideration of applicants needing employment sponsorship (visas) to specialty occupations. Sponsorship will not be considered for this position Relocation assistance is availableJob Description:Primary AccountabilitiesEstimating Loss and Damages (15%)Determines all parties with an insurable interest including owner, named insured, lienholder, and lessor.Acquires reports from local, municipal, and state agencies. Continues to learn to identify and utilize key information from the reports.Takes and/or acquires appropriate photographs to properly document the claim file.Develops a comprehensive understanding of and the ability to interpret Auto, Motorcycle, and Watercraft policies including applicable endorsements to resolve issues.Writes and reviews estimates of damage. Handles the most complex losses. Applies all current recommended vehicle repair and replacement procedures. Is aware of safety related repair issues and advanced vehicle systems.Demonstrates the knowledge to answer most physical damage questions. Develops the ability to research more complex issues.Negotiation, Settlement (15%)Handles claim negotiations by settling and providing the best customer experience in the industry.Recognizes the need for and obtains non-waiver as needed. Recognizes the need for and sends reservation of rights letters.Recognizes, controls and resolves disputes with tact and diplomacy. Notifies or directly involves the agent in the dispute resolution. Utilizes arbitration, appraisal and alternate dispute resolution as needed. Recognizes when their is a need and obtains assistance.Provides a clear explanation of the estimate to the customer, answers all questions and processes the claim payment. Negotiates physical damage settlements with a diverse customer base and explains physical damage settlements including total losses so they are understood.Explains correct repair methods and identifies the industry approved equipment needed to complete the repairs.Negotiates repair prices and techniques with repair facilities and customers. This includes the use of aftermarket parts, salvage parts, repair versus replacement, and betterment.Policy Determination & Analysis (15%)Interprets and determines state-specific differences in policies and contract coverages and applies to all parties for assigned losses. Interprets claim history coverages. Selects proper loss codes based on policy type.Identifies state-specific legislation and legal precedent based on prior legal cases for assigned geographical area. Seeks assistance as needed.Utilizes company Claim Bulletins, manuals and best practices. Demonstrates knowledge of underwriting guidelines, inspects risks and makes recommendations to the Underwriting Department as needed.Applies decision making process to available data to determine extent of coverage or non-coverage and communicates results to appropriate parties. Seeks input from senior adjuster's and manager as needed.Investigation (15%)Investigates cause and origin of claims by contacting the appropriate parties.Identifies complex issues and seeks assistance as needed from management. Identifies fraud files and seeks assistance as needed.Recognizes when to secure public documents to complete a claim file investigation. Secures, preserves and maintains evidence in a legal manner.Recognizes and investigates losses involving subrogation and salvage potential. Uses knowledge of third party and tort liability.Discusses loss with all parties, obtains statements on complex losses involving all applicable policies by applying a thorough knowledge of written and recorded statement techniques.Estimates or establishes salvage values. Understands and recognizes the difference between total loss and repairable vehicles. Considers factors such as hidden damage, open items, vehicle rental, and salvage value.File Management (15%)Actively manages individual claim inventory and works toward meeting cycle-time goals for closing files. Claim inventory will focus on the most complex claims that can require on-site inspection and face-to-face customer interaction.Utilizes the electronic integrated claim system to complete and document actions throughout the life of the file.Conducts initial review of claims received to identify prior actions taken (e.g. services provided by the Customer Care Center and appointments scheduled) and determines next steps.Makes independent decisions and self-supervises most files recognizing when assistance is needed.Agency Relationship (15%)Establishes rapport with agents and builds on-going relationships by including agents in the claim handling process as appropriate.Partners with agency to provide seamless customer service.Facilitates communication between customers, agents, vendors, third party administrators and other employees. Proactively provides agents with important claim related information; provides all parties with claim process and status as appropriate; answers questions or redirects to other areas.Explains and discusses any circumstances that may affect customer service with agency, vendors, third party administrators or other claim personnel. Includes agents in problem resolution as appropriate.Provides agents with claim handling information via phone conversations and written correspondence.Training and Additional Assignments (10%)Handles the most complex claims that require face to face contact with others such as claimant, insured or attorney and Works independently to resolve high level claims.Handles most complex claims that include on-site physical inspection of vehicles.Acts as liaison with body shops and works closely to agree on estimates and repair amounts. Works closely with salvage yards and/or vehicle inspection centers to settle total vehicle losses and to obtain the highest possible salvage return.Serves as mentor to lower level adjusters on all aspects of file handling.Serves as expert resource for lower level adjusters on policy interpretation and analysis.Conducts training for claim personnel, agency force, and others as required.Responsibilities:Physical DemandsThis position requires the ability to work with depth perception (three-dimensional vision, ability to judge distances and spatial relationships) for extended periods of time.This position requires the ability to work with distance vision (clear vision at 20 feet or more) for extended periods of time.This position requires the ability to work with peripheral vision (ability to observe an area that can be seen up and down or to the left or right while eyes are fixed on a given point) for extended periods of time.This position requires the ability to stoop, kneel, crouch or crawl between 33 and 66% of the time.This position requires the ability to talk or listen (hear) between 66 and 100% of the time.This position requires the ability to lift up to 25 pounds between 1 and 33% of the time.Travel RequirementsMust be willing to travel for Catastrophe duty if necessary.This position requires travel up to 75% of the time.Specialized Knowledge and Skills RequirementsDemonstrated experience providing customer-driven solutions, support or serviceDemonstrated experience in efficiently and effectively handling simple to moderately complex claims with limited supervision and/or body shop estimating experienceSuccessfully applied knowledge of each phase of the physical damage claim handling process.Valid driver's license required plus an acceptable driving record.Stay connected: Join our Talent Community!LI:AS1","At American Family Insurance, we’re driven by our customers and employees. That’s why we provide more than just a job – we provide opportunity. Whether you’re already part of our team in search of a new challenge or new to our company and ready for what’s next, you’re in the right place. Every dream is a journey that starts with a single step. Start your journey right here. Join our team. Bring your dreams.Quick Stats:Location: GA Atlanta Office, GA Stockbridge Sales OfficeJob ID: R2196 (Auto) Physical Damage Claim Senior Appraiser/Adjuster (Open)Summary:The Physical Damage Claim Field Senior Adjuster position supports the Claim Division goal of ensuring customer service industry leadership and partners with agency to deliver seamless claim service. An experienced adjuster who has achieved mastery in and performs all areas of physical damage claim adjustment activities with the highest degree of competency and independence. Processes complex or highly complex claims that primarily require on-site inspection or face-to-face contact on a routine basis. Evidences effective performance in the area of customer, agency and public relations; and is active and competent in conducting training of new claim personnel. Facilitates continuous development of people, processes, and culture to ensure customer service industry leadership.Position detailWe have three positions availableSelected candidate will be required to handle South or East AtlantaThis is a work from home positionA company vehicle will be providedPreferred candidate would have a minimum of two years auto appraisal experience. Ideal candidates would also have previous experience using one of the three major estimating platforms. Offer to selected candidate will be made contingent on the results of applicable background checksOffer to selected candidate is contingent on signing a non-disclosure agreement for proprietary information, trade secrets, and inventionsOur policy restricts consideration of applicants needing employment sponsorship (visas) to specialty occupations. Sponsorship will not be considered for this position Relocation assistance is availableJob Description:Primary AccountabilitiesEstimating Loss and Damages (15%)Determines all parties with an insurable interest including owner, named insured, lienholder, and lessor.Acquires reports from local, municipal, and state agencies. Continues to learn to identify and utilize key information from the reports.Takes and/or acquires appropriate photographs to properly document the claim file.Develops a comprehensive understanding of and the ability to interpret Auto, Motorcycle, and Watercraft policies including applicable endorsements to resolve issues.Writes and reviews estimates of damage. Handles the most complex losses. Applies all current recommended vehicle repair and replacement procedures. Is aware of safety related repair issues and advanced vehicle systems.Demonstrates the knowledge to answer most physical damage questions. Develops the ability to research more complex issues.Negotiation, Settlement (15%)Handles claim negotiations by settling and providing the best customer experience in the industry.Recognizes the need for and obtains non-waiver as needed. Recognizes the need for and sends reservation of rights letters.Recognizes, controls and resolves disputes with tact and diplomacy. Notifies or directly involves the agent in the dispute resolution. Utilizes arbitration, appraisal and alternate dispute resolution as needed. Recognizes when their is a need and obtains assistance.Provides a clear explanation of the estimate to the customer, answers all questions and processes the claim payment. Negotiates physical damage settlements with a diverse customer base and explains physical damage settlements including total losses so they are understood.Explains correct repair methods and identifies the industry approved equipment needed to complete the repairs.Negotiates repair prices and techniques with repair facilities and customers. This includes the use of aftermarket parts, salvage parts, repair versus replacement, and betterment.Policy Determination & Analysis (15%)Interprets and determines state-specific differences in policies and contract coverages and applies to all parties for assigned losses. Interprets claim history coverages. Selects proper loss codes based on policy type.Identifies state-specific legislation and legal precedent based on prior legal cases for assigned geographical area. Seeks assistance as needed.Utilizes company Claim Bulletins, manuals and best practices. Demonstrates knowledge of underwriting guidelines, inspects risks and makes recommendations to the Underwriting Department as needed.Applies decision making process to available data to determine extent of coverage or non-coverage and communicates results to appropriate parties. Seeks input from senior adjuster's and manager as needed.Investigation (15%)Investigates cause and origin of claims by contacting the appropriate parties.Identifies complex issues and seeks assistance as needed from management. Identifies fraud files and seeks assistance as needed.Recognizes when to secure public documents to complete a claim file investigation. Secures, preserves and maintains evidence in a legal manner.Recognizes and investigates losses involving subrogation and salvage potential. Uses knowledge of third party and tort liability.Discusses loss with all parties, obtains statements on complex losses involving all applicable policies by applying a thorough knowledge of written and recorded statement techniques.Estimates or establishes salvage values. Understands and recognizes the difference between total loss and repairable vehicles. Considers factors such as hidden damage, open items, vehicle rental, and salvage value.File Management (15%)Actively manages individual claim inventory and works toward meeting cycle-time goals for closing files. Claim inventory will focus on the most complex claims that can require on-site inspection and face-to-face customer interaction.Utilizes the electronic integrated claim system to complete and document actions throughout the life of the file.Conducts initial review of claims received to identify prior actions taken (e.g. services provided by the Customer Care Center and appointments scheduled) and determines next steps.Makes independent decisions and self-supervises most files recognizing when assistance is needed.Agency Relationship (15%)Establishes rapport with agents and builds on-going relationships by including agents in the claim handling process as appropriate.Partners with agency to provide seamless customer service.Facilitates communication between customers, agents, vendors, third party administrators and other employees. Proactively provides agents with important claim related information; provides all parties with claim process and status as appropriate; answers questions or redirects to other areas.Explains and discusses any circumstances that may affect customer service with agency, vendors, third party administrators or other claim personnel. Includes agents in problem resolution as appropriate.Provides agents with claim handling information via phone conversations and written correspondence.Training and Additional Assignments (10%)Handles the most complex claims that require face to face contact with others such as claimant, insured or attorney and Works independently to resolve high level claims.Handles most complex claims that include on-site physical inspection of vehicles.Acts as liaison with body shops and works closely to agree on estimates and repair amounts. Works closely with salvage yards and/or vehicle inspection centers to settle total vehicle losses and to obtain the highest possible salvage return.Serves as mentor to lower level adjusters on all aspects of file handling.Serves as expert resource for lower level adjusters on policy interpretation and analysis.Conducts training for claim personnel, agency force, and others as required.Responsibilities:Physical DemandsThis position requires the ability to work with depth perception (three-dimensional vision, ability to judge distances and spatial relationships) for extended periods of time.This position requires the ability to work with distance vision (clear vision at 20 feet or more) for extended periods of time.This position requires the ability to work with peripheral vision (ability to observe an area that can be seen up and down or to the left or right while eyes are fixed on a given point) for extended periods of time.This position requires the ability to stoop, kneel, crouch or crawl between 33 and 66% of the time.This position requires the ability to talk or listen (hear) between 66 and 100% of the time.This position requires the ability to lift up to 25 pounds between 1 and 33% of the time.Travel RequirementsMust be willing to travel for Catastrophe duty if necessary.This position requires travel up to 75% of the time.Specialized Knowledge and Skills RequirementsDemonstrated experience providing customer-driven solutions, support or serviceDemonstrated experience in efficiently and effectively handling simple to moderately complex claims with limited supervision and/or body shop estimating experienceSuccessfully applied knowledge of each phase of the physical damage claim handling process.Valid driver's license required plus an acceptable driving record.Stay connected: Join our Talent Community!LI:AS1"
Quality Systems Analyst II Job in Allston,Biotechnology/Pharmaceuticals,"Allston, MA","Quality Systems Analyst II-POS_75049626-1DescriptionGenzyme has pioneered the development and delivery of transformative therapies for patients affected by rare and debilitating diseases for over 30 years. We accomplish our goals through world-class research, collaboration with the global patient community, and with the compassion and commitment of our employees. With a focus on rare diseases and multiple sclerosis, we are dedicated to making a positive impact on the lives of the patients and families we serve. Genzyme's portfolio of transformative therapies, which are marketed in countries around the world, represent groundbreaking and life-saving advances in medicine. As a Sanofi company, Genzyme benefits from the reach and resources of one of the world's largest pharmaceutical companies, with a shared commitment to improving the lives of patients.Sanofi Genzyme focuses on developing specialty treatments for debilitating diseases that are often difficult to diagnose and treat, providing hope to patients and their families.Genzyme Corporation (a Sanofi company) and its U.S. affiliates are Equal Opportunity and Affirmative Action employers committed to a culturally diverse workforce. All qualified applicants will receive consideration for employment without regard to race; color; creed; religion; national origin; age; ancestry; nationality; marital, domestic partnership or civil union status; sex, gender, gender identity or expression; affectional or sexual orientation; disability; veteran or military status or liability for military status; domestic violence victim status; atypical cellular or blood trait; genetic information (including the refusal to submit to genetic testing) or any other characteristic protected by law.Quality Systems Analyst II:The Quality Systems department manages Change Control, Document Control and Records Management, Product Quality Reviews, Quality Management Review, Quality Engineering, the Deviation/CAPA Systems, and Quality Information Systems (QIS) activities.This position partners within the Quality Systems organization and may partner with Quality across the network to evaluate and improve processes and systems, as well as sharing of best practices.The Quality Systems Analyst II will be responsible for the following, but not limited to:Assists with on time closure of all QS deviations, CAPAs, Change Controls, Audit Commitments and other continuous improvement activites..Lead and/or participate in quality system continuous improvement activities and ongoing compliance initiatives to promote sustainable compliance.Provides metric development and reporting.Provides and develops training as needed.May assist with writing/updating departmental SOP's.Engages with individuals and/or participates in working groups within the network in support of initiatives that support continuous improvement.QualificationsBasic Qualifications: Bachelor's degree and 2 years of relevant industry experienceORAssociate's degree and 3 years of relevant industry experienceORHigh School diploma/GED and 5 years of related industry experiencePreferred Qualifications:Demonstrated experience with MS Office ApplicationsDemonstrated experience leading Problem Solving and Process Improvement teamsStrong written and verbal communication skillsResults oriented, hands-on analyst with a strong work ethic who can operate effectively in a global collaborative environment working on multiple projects of varying size and complexityExperience leading cross-functional teamsStrong deviation, CAPA, and/or change management experience.Experience in regulatory inspections and responding to observations.Experience with training, coaching, and leadershipPractical understanding of principles of project management and team facilitation.Good analytical skillsDemonstrated knowledge of Excel with some VBA experience.Demonstrated use of LEAN and Six Sigma Tools.Interstate travel may be required.Job:QualityPrimary Location:United States-Massachusetts-AllstonJob Posting:Apr 7, 2016, 2:18:53 PMJob Type:RegularEmployee Status:Regular"
Landscape Architect Job in Lemont,Construction - Residential & Commercial/Office,"Lemont, IL 60439","Kings Landscaping Co. is looking to hire dynamic, highly motivated individuals to our team. King’s has been a staple in the western suburbs of Chicago since 1959.We are in need of a Landscape Design Professional, Outside Sales Professional and Maintenance Supervisor. All three of the positions are salaried; pay will be commensurate with experience and education.All Resumes should be directed to Noel King CFO.The qualified candidate must have the following:Be ambitious and self-motivated personality.3-5 years of experience are required, as well as, relative horticultural experience.4 year degree or better in Landscape Architecture or related field.The individual will need to help facilitate projects from initial client contact to completion.Project management skills are required.Customer service skills are mandatory.Computer Skills:Dynascape, Microsoft Office proficiency, Photoshop, Sketch up"
GENEWIZ JOB FAIR/Laboratory Technician Job in South Plainfield,Biotechnology/Pharmaceuticals,"South Plainfield, NJ 07080","Want to be part of a company whose goal is to be the best in the world and the best for the world?                       Join GENEWIZ for our Job Fair in April!                    When: Wednesday, April 25th, 2016                             Time: 2:00pm to 6:00pmWhere: 111 Corporate Blvd, South Plainfield, NJ 07080 We seek talented, enthusiastic and innovative individuals for Entry-Level Laboratory Technician positions in our Genetic Analysis department at our South Plainfield, New Jersey headquarters.  The minimum requirement for this position is a High School Diploma.  Check out our Careers Page for more detailed information. To attend the job fair, submit your resume to HR@GENEWIZ.com and specify JOB FAIR in the subject line of the email.  If you would like to confirm receipt of your application for the job fair or have any questions, please send an email to Melissa.Rodriguez@GENEWIZ.com  We offer various health and financial benefits, learning opportunities, competitive compensation, rewarding bonus programs, and a wide range of work/life benefits designed to make your life easier. To view our open position and apply, visit www.GENEWIZ.com/careersConnect with us on Linkedin, Facebook and Twitter@GENEWIZ GENEWIZ is a leading global genomics service company and trusted provider for DNA sequencing, gene synthesis, molecular biology, next generation sequencing, bioinformatics, and GLP regulatory services."
Procurement Manager Job in Newark,Internet Services,"Newark, NJ 07103","Position: Procurement ManagerLocation: Newark, NJ 07102Duration:8-12 Months Pay rate: $26.73 per hour on W2 Position Description The purpose of the position is to assist the Director of Procurement & Contracts (""DPC"") in managing the Procurement & Contracts and Business Services (mail management, print production, and fleet services) functions, performing the analytical work required to prepare, publish and distribute department, organizational, state and HUD required reporting, and assuming responsibility for the continuous, efficient and effective operation of the department in the absence of the DPC. Plan, assign and review work of department personnel to ensure appropriate distribution of workload, and compliance with applicable policies, procedures and plansDeliver Procurement acquisition and administration training to subordinates, new hires, interns, students and temporary workersCoordinate the review, timely processing and monitoring of contracts, solicitations, and purchase ordersAnalyzes technical information accompanying Procurement Requests to determine specification complianceSupervise and manage the Maintenance, Repair and Operations and Business Services teams as well as interns, students and temporary staff Experience Required Preferred experience is - Leadership and supervisory experience; Public housing experience;New Jersey Local Public Contract Law experience; and Certified Purchasing Manager (C.P.M. by the Institute for Supply Management) or related certification. Client will entertain like kind of background without the mandatory Public housing experience. Education Required Bachelor's degree in Business or related field plus five (5) years of relevant experience, or an equivalent combination of training and experience related to the position's duties; Demonstrated ability to perform quantitative analysis of spend data and other business intelligence information using automated systems; must be proficient in Microsoft Office 2007 or later; Extensive training in public procurement practices, standard business practices and state and federal contracting requirements; Ability to lead a team of procurement professionals, as well as skilled administrative workers; Maintain certification as a Registered Pubic Purchasing Buyer (Rutgers Center for Governmental Studies), or Certified Public Procurement Buyer (Universal Public Procurement Certifying Council); and participate in providing information and training to the supplier community to facilitate the Authority's objectives related to the utilization of disadvantaged (Minority, Women and Small) business enterprises, and compliance with HUD Section 3 opportunities.Thanks,Sunny ParikhRecruitment Lead| Recruitment & Staffing DivisionTelephone: 609-498-6930Fax : +1-847-847-2810Email ID: sunny.parikh@apideltech.comApidel Technologies LLCApidel Technologies is a WMBE (Women & Minority Business Enterprise) and an E-Verified employer."
Licensed Clinical Social Worker Job in West Palm Beach,Healthcare Services,"West Palm Beach, FL","Position Number: 2155-847-041516 Open Date: 4/14/2016 Close Date: Open Until Filled Program: Primary Care Clinics Department: Clinics Location: West Palm Beach, FL   To be the Health Care Safety Net for Palm Beach County The Health Care District of Palm Beach County is an integrated public health system established by the voters as a special taxing district.  The safety-net system is an equal opportunity employer of approximately 1,000 employees.  The Health Care District provides challenging and fulfilling employmentopportunities through itshealth coverage programs for uninsured residents, a pharmacy operation, a nationally-recognized Trauma System that includes the Trauma Hawk Aeromedical Program, adult and pediatric services at the C. L. Brumback Primary Care Clinics throughout the county, a School Health program which staffs registered nurses in nearly 170 public schools, short-term or long-term inpatient care at the Edward J. Healey Rehabilitation and Nursing Center, and the county’s only public hospital, Lakeside Medical Center, which serves the rural, western Glades’ communities.  For more information, visit www.hcdpbc.org .   LinkedIn - www.linkedin.com/company/health-care-district-of-palm-beach-county C.L. Brumback LinkedIn - www.linkedin.com/company/c-l-brumback-primary-care-clinics Twitter - www.twitter.com/healthcaredist General Statement of Job This position assists patients in achieving highest physical, mental, and psychosocial level of functioning. Employees in this position participate in care plan development, counseling of patients, discharge planning, psychosocial assessments, and family interaction. Specific Duties and Responsibilities Essential Functions: Participates in care plan development, counseling of patients, psychosocial assessments, and family interaction. Provides referrals to other agencies concerning outside services, social support systems, and behavior systems. Ensures the provision of sufficient social and mental interaction with patients for the purpose of ensuring and promoting mental and emotional health and well-being. Assists patients in decision making concerning health care and preferences for involvement of other entities. Assists patients in processing of correspondence (e.g., reading, interpreting, writing). Assists patients with financial and legal matters for personal planning purposes. Assists with implementation of behavioral treatment plans. Promotes effective relationships between patients and staff, ensuring effective communication and preservation of patients’ dignity. Interacts with family members, provides information concerning health status and progress, and encourages participation and involvement of all interested persons. Assists staff in providing sensitive/critical information to patients concerning health status, ramifications of care choices, etc. Provides or arranges needed counseling services. Attends care plan meetings. Coordinates acquirement of adaptive equipment. Performs special projects and program analysis as directed. Responsible for service delivery and outreach to migrant and/or homeless populations in Palm Beach County at the existing health centers, along with other community sites, as directed by the Clinic Administration. Emergency duty may be required of the incumbent that includes working in Red Cross shelters or to perform other emergency duties including, but not limited to, responses to threats or disasters, man-made or natural. Additionally, incumbents are required to perform emergency response and management duties for Palm Beach County as required. Position Qualifications Education: Bachelor’s degree in social work or in a human services field such as sociology, special education, rehabilitation counseling, or psychology required. Experience: One (1) to three (3) years of supervised social work experience in a health care setting required. Certification: Basic Life Support certification required. Licensure: Current, valid license as a Licensed Clinical Social Worker (LCSW) in the State of Florida required.   (~M)   *CB   The Health Care District is an Equal Employment Opportunity Employer and maintains a Drug Free Workplace. Veterans preferred. Qualified individuals with disabilities who require an accommodation to participate in the application process or candidates with other questions should contact Human Resources . #TrackingJobBody p{margin-top:0px !important; min-height:0px !important;}"
Hourly Team Member (Part Time) Lakewood GetGo Job in Lakewood,Food and Beverage Production,"Lakewood, OH","Position Summary To exceed customer needs and expectations by providing efficient, accurate and pleasant check-out service and shopping assistance. Job Responsibilities Ring up customer's orders by scanning product or punching price into register according to established Company policies and procedures. Finalize sales and collect payments by totaling order and accepting tender from customer. Alertly watch customers at pumps to help prevent drive-offs, unsafe misuse of gasoline containers or placement and pumping multiple cars within the same transaction (Double Pumping). Provide products and services that are competitively priced, meet the requirements of internal and external customers at all times and abide by the Company's Statement of Values. Maintain cleanliness of equipment, counter area, floor, restrooms, exterior pump area, etc. to ensure safety and sanitation regulations are met. Know and follow all state and local laws regarding cigarette sales. Know and follow all coupon-handling procedures. Understand how to sell Lottery tickets, gift cards and Telephone Calling Cards. Assist in Kitchen area as needed. Assist other store team Members in maintaining security in the store. Block and straighten shelves as needed. Assist with light stocking duties and inform management of any out of stock items. Replace misplaced items to the proper location. Little or no financial or budgetary responsibility Amount of Budgetary Responsibility: $0 Education and Training Required High school diploma or equivalent Experience Required 0 to 6 months Experience Desired Age Requirement At least 16 years of age Shift Any Hours Competencies Required Adaptability Customer Focused Gets Things Done Interpersonal Skills Problem Solving Respect for Self and Others Work Environment Cooler Extreme Outdoor temperatures Freezer Inclement weather (hot/cold, snowy, rainy) Physical requirements Bending Carrying Up to 25 pounds Climbing Hearing (auditory) Lifting Up to 25 pounds Operating Equipment Reading Reaching Repetitive Motion Sight or Peripheral Vision Standing Telephone Usage Twisting Communication (verbal) Walking Writing Equipment Used Adding Machine Dishwasher Dolly Fountain Machines Fuel Pumps Ice Coffee Machine Ice Machine Knives Bag in box machine Lang Oven Make Line Merry Chef (Oven) Microwave Motorola Hand Held Gun (Receiving) Panini Grill Power Washer Proofer Registers Smoothie Machine Stand-up Lotto Machine Teazzer Vacuum Watchguard Detergent Dispenser Car Wash Equipment Coffee Brewer Coffee Grinder Conventional Oven Creamer Machine Calculator Computer Printer Telephone"
Reporting Analyst Job in Reynoldsburg  body { margin:px; overflow: visible !important; } #ejb_header { color: #; font-family: Verdana,Accounting and Auditing Services,Reynoldsburg 43068,"Randstad Professionals is seeking a Reporting Analyst for a 3 Month Contract in Columbus, OH. The targeted Pay rate is $25.50/Hr.The Reporting Analyst will partner with a Senior Analyst to gather reporting requirements from cross-functional teams, create and review templates, & build reports that support the business. Will participate in building and maintenance of tools to support both the in-season and pre-season planning process. Execute ad hoc projects as needed.RESPONSIBILITIES: Must possess ability to:- Create, update and manage sustainable reporting suite.o Mine for opportunities in tools, processes and training to increase speed and efficiency in the business.o Partner with Senior Analyst to understand existing report layouts and architectureo Analyze system information to determine most efficient method of accurate data retrievalo Maximize efficiencies by improving and automating current reports- Create, update and manage sustainable tools for Central Planning and cross functional partners.- Provide analytical support for ad hoc projects across the Brand.QUALIFICATIONS:- One to three years Merch Planning or Business Systems experience, preferably in specialty retail- Proficient in MS Excel and MS Access- SQL knowledge preferred, advanced VBA a plus- Advanced knowledge of Excel and/or other program that can be used creatively to develop user-focused tools- Detail oriented, strong problem solving skills, innovative- Customer-focused with strong listening and quantitative aptitude; Ability to builds collaborative partnerships cross-functionallyEDUCATION: Bachelor's degree preferredIf you are interested and available please send your resume to tiffany.shane@randstadusa.com"
Landscaper Job in  | Monster.com function wrap(EL,All,89147,"LANDSCAPER We are looking for people experienced in landscaping, from start to finish. Must be Conscientous, and able to work alone. Wage commensurate with experience. Email to Bob.Atkins@cox.net or call (702) 219-0282 for info. Provided by The Las Vegas Review Journal"
